segment_id,user_id,file_name,mode,n_points,duration_s,distance_m,avg_speed_mps,max_speed_mps,std_speed_mps,p50_speed_mps,p90_speed_mps,avg_acc_mps2,std_acc_mps2,max_acc_mps2,min_acc_mps2,avg_turn_deg,std_turn_deg,stop_ratio,high_speed_ratio,mid_speed_ratio
0,10,20080331160008.plt,car,10,533,4997.940935,8.432577836,13.55413896,4.878132222,9.999731111,12.96796429,0.015542352,0.120638973,0.20918869,-0.223434013,9.418787823,23.03097804,0.2,0.5,0.1
1,10,20080331160008.plt,car,12,651,6031.302622,8.480828407,19.75925966,6.057874896,6.113783759,15.04714497,0.004020406,0.11847833,0.256098939,-0.202979842,35.87224131,45.27358442,0.083333333,0.416666667,0.5
2,10,20080402060926.plt,walk,563,1139,755.4186636,1.083157179,3.848027189,0.478953092,1.058006776,1.492055325,0.010578204,0.458360209,2.223425123,-2.384665064,15.18114265,15.66412594,0.072824156,0,0.047957371
3,10,20080402060926.plt,car,175,203,1073.949583,5.936180591,12.48337514,3.65653771,5.444662977,10.73223442,0.073373493,0.735079851,2.943169993,-2.004066935,7.713667362,9.935911002,0.04,0.211428571,0.468571429
4,10,20080402060926.plt,bus,266,1584,7326.510691,6.984777844,16.5131272,3.722160005,6.623274225,11.71763034,0.078682219,1.053435178,6.402394492,-5.108210907,6.75238077,17.67693789,0.045112782,0.251879699,0.481203008
5,10,20080403010747.plt,walk,16,830,477.1453631,0.501542269,1.388379119,0.480419492,0.35737967,1.261665021,0.000262027,0.008061566,0.019977575,-0.015700488,34.75385694,46.31190706,0.5625,0,0
6,10,20080403010747.plt,walk,11,594,550.0316168,0.841017292,1.309284439,0.383610273,0.988926718,1.156622371,0.001515434,0.005998719,0.016274101,-0.006191647,56.002165,63.09978697,0.181818182,0,0
7,10,20080403010747.plt,car,384,385,4902.120721,12.76593938,22.27756427,5.395443883,13.43682843,19.45854273,0.001511054,0.784162588,9.266948813,-2.401086576,3.22349289,9.87650605,0.033854167,0.760416667,0.1171875
8,10,20080403160000.plt,walk,108,205,178.4963983,1.342202569,7.239042752,0.837869974,1.381617311,2.059308888,0.023905931,1.027184069,7.239042752,-5.230968889,13.99777337,16.64515879,0.12037037,0,0.12037037
9,10,20080403160000.plt,car,1925,1927,52008.6669,26.98492516,36.61495796,7.695798285,29.98121721,34.13259965,0.001410198,0.413639025,3.639907176,-2.411276163,1.00934295,3.895819188,0.000519481,0.960519481,0.018181818
10,10,20080403160000.plt,car,2167,2170,51622.861,23.77751144,34.94893514,8.587524378,26.10696363,33.24568346,0.00226494,0.453276401,6.302379625,-3.626362243,1.374065437,7.506164779,0.017997231,0.910936779,0.029533918
11,10,20080405160011.plt,bus,220,3066,15808.09251,4.821025504,14.83942831,4.015362583,4.90009335,10.40675026,-0.000456867,0.223095325,0.581398872,-0.609830608,20.01015609,34.56699451,0.231818182,0.113636364,0.381818182
12,10,20080518072454.plt,bus,1964,2330,30144.53237,13.73464092,45.91176395,8.054052658,12.69024294,25.44769254,0.069443485,3.842313068,34.3894403,-22.82403933,4.591174762,16.99965092,0.039205703,0.652240326,0.185336049
13,10,20080519055003.plt,bus,4874,7085,159141.1354,22.38943501,54.70290604,7.5661775,25.91176296,27.63987011,0.02823499,1.750000475,40.11689144,-26.53424475,1.615542064,8.95525588,0.012720558,0.900287238,0.050677062
14,10,20080613211847.plt,walk,727,742,979.3750222,1.301322898,4.835472542,0.631825644,1.180539913,1.965708265,-0.002464397,0.463560419,3.108979508,-3.10897965,8.703198884,9.018690232,0.037138927,0,0.099037139
15,10,20080613211847.plt,walk,155,243,305.4925856,1.341004093,2.541675986,0.373825972,1.359179348,1.839609652,0.018138751,0.384127038,1.553156143,-1.451416482,6.234543491,5.412085642,0.006451613,0,0.038709677
16,10,20080615221713.plt,bus,1748,2038,15473.10742,8.178804838,22.90824343,6.082341444,5.340134077,17.59460126,0.025211655,0.652517406,9.053685779,-6.561795558,6.407141104,12.25242934,0.018878719,0.360411899,0.481121281
17,10,20080615221713.plt,walk,198,514,437.0914182,1.646564833,2.997759449,0.254692365,1.680206494,1.877990555,0.01444919,0.314592696,2.913165097,-1.489186781,6.278343812,17.49211922,0.01010101,0,0.015151515
18,10,20080615221713.plt,walk,257,256,473.0121282,1.840514118,2.785227242,0.224553737,1.805201953,2.043695513,0.006233404,0.211958836,2.018186769,-0.491409961,4.129247342,3.92023098,0.003891051,0,0.124513619
19,10,20080615221713.plt,walk,50,49,78.50718186,1.570143637,1.943255933,0.285087573,1.612989133,1.819072235,0.034149451,0.265013501,0.985648782,-0.510619142,6.496340976,6.816201353,0.02,0,0
20,10,20080615221713.plt,walk,145,359,377.8493986,1.776380492,4.101858067,0.628714774,1.70333805,2.137550481,0.017354225,0.429088356,2.77804664,-1.671728706,6.797013365,7.506017661,0.006896552,0,0.117241379
21,10,20080615221713.plt,walk,791,871,1423.452609,1.720934521,3.08188783,0.303603679,1.722939564,2.018215668,0.007796614,0.316383682,2.276558133,-1.465700855,6.845181696,9.204854087,0.003792668,0,0.117572693
22,10,20080615221713.plt,walk,668,835,989.5897542,1.223080831,3.886026529,0.407118141,1.20646332,1.706176811,0.000290139,0.405044326,2.105305337,-2.466713524,13.42651501,14.04645476,0.028443114,0,0.035928144
23,10,20080617094444.plt,bus,1289,1903,7099.82173,4.71382183,20.24626782,3.580273377,4.045564938,9.929958189,0.018593168,1.303985921,13.9086621,-9.531606799,17.77223398,30.75323964,0.126454616,0.096974399,0.481768813
24,10,20080617094444.plt,walk,341,420,694.1433114,1.738415678,6.305430961,0.787788622,1.674164751,2.515656803,0.033786875,0.854475386,5.257895597,-4.159970749,18.74526233,14.17915852,0.020527859,0,0.304985337
25,10,20080617094444.plt,walk,304,440,438.9164798,1.194869963,4.694901579,0.580221694,1.099609767,1.857386085,0.026630767,0.583662456,3.808676915,-2.914549747,18.10599617,19.28457137,0.059210526,0,0.065789474
26,10,20080617094444.plt,car,370,410,3469.739684,8.435604028,16.20233761,4.174206795,8.410719274,14.50065092,-0.003292688,1.115839761,7.304661799,-4.943347844,6.043198626,11.09514928,0.008108108,0.343243243,0.37027027
27,10,20080618003409.plt,walk,179,334,482.0459525,1.546816781,3.411821735,0.485636113,1.508487706,2.158474985,0.015605893,0.493805493,2.567483275,-1.265734794,14.92166911,13.90761236,0.011173184,0,0.17877095
28,10,20080618003409.plt,car,532,793,3533.318662,5.898763813,15.63668998,4.66851268,4.972653093,12.80302411,0.017731971,1.041844912,7.490558239,-9.774245822,13.83946102,26.88423694,0.165413534,0.259398496,0.390977444
29,10,20080618003409.plt,walk,234,458,619.3221394,1.703542963,10.2225686,1.041958075,1.617364718,2.673677439,0.038969468,0.936069919,5.068614424,-5.741503347,19.23671178,16.55783941,0.042735043,0.004273504,0.243589744
30,10,20080618003409.plt,bus,712,886,5909.732732,7.377689632,14.80788552,4.094673053,8.239816455,12.24416761,0.02279063,0.870749968,6.14788808,-3.21725854,8.719616208,19.51520018,0.077247191,0.337078652,0.299157303
31,10,20080618003409.plt,bus,66,100,837.2817176,9.169512396,16.46235186,4.101383864,9.759370617,14.32285871,0.091578509,1.516933826,6.227870045,-2.782081147,4.398085895,4.44057987,0.03030303,0.5,0.318181818
32,10,20080618121033.plt,walk,432,611,839.1819777,1.478826025,6.944272203,0.742723515,1.324057372,2.339811084,0.034511496,0.746914614,4.83639396,-3.354791673,20.299222,16.99970259,0.025462963,0,0.180555556
33,10,20080618121033.plt,bus,2045,2968,19967.56046,8.564568549,20.40900555,4.674066824,9.230753782,14.40643698,0.022112673,1.033818223,6.966393878,-7.32637039,10.08436478,22.16606634,0.092909535,0.439608802,0.269437653
34,10,20080618121033.plt,bus,151,242,1321.140743,7.549837235,12.17888906,2.93475175,8.61244704,10.48704582,0.103444366,0.952191784,4.143848278,-2.513243565,5.363742928,6.029827423,0.013245033,0.19205298,0.377483444
35,10,20080618121033.plt,walk,468,594,1005.88236,1.769369879,10.20353656,0.902322678,1.642539808,2.499750939,0.01620578,0.908383022,9.520317998,-4.476814852,16.23795679,14.85374038,0.014957265,0.002136752,0.243589744
